image name,instagram caption,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info,
1_03_1_fil_cr_ins_nmo_Juno,YJ 1_03_1_fil_cr_ins_nmo_Juno,https://www.instagram.com/p/CCpmDHfFuqW/,1,jpg,Juno,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Slum,YJ 1_03_1_fil_cr_ins_nmo_Slum,https://www.instagram.com/p/CCpmINiFtIU/,1,jpg,Slumber,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Crem,YJ 1_03_1_fil_cr_ins_nmo_Crem,https://www.instagram.com/p/CCpmNqHlmsT/,1,jpg,Crema,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Ludw,YJ 1_03_1_fil_cr_ins_nmo_Ludw,https://www.instagram.com/p/CCpmVialzVZ/,1,jpg,Ludwig,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Aden,YJ 1_03_1_fil_cr_ins_nmo_Aden,https://www.instagram.com/p/CCpmhQrFY8D/,1,jpg,Aden,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Perp,YJ 1_03_1_fil_cr_ins_nmo_Perp,https://www.instagram.com/p/CCpmpQjFALG/,1,jpg,Perpetua,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Amar,YJ 1_03_1_fil_cr_ins_nmo_Amar,https://www.instagram.com/p/CCpm2Dblyos/,1,jpg,Amaro,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Mayf,YJ 1_03_1_fil_cr_ins_nmo_Mayf,https://www.instagram.com/p/CCpnAEMFkYL/,1,jpg,Mayfair,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Rise,YJ 1_03_1_fil_cr_ins_nmo_Rise,https://www.instagram.com/p/CCpnN8PlPNz/,1,jpg,Rise,original,iaslab_enhanced,
1_03_1_fil_cr_ins_nmo_Huds,YJ 1_03_1_fil_cr_ins_nmo_Huds,https://www.instagram.com/p/CCpnXNPl-hc/,1,jpg,Hudson,original,iaslab_enhanced,포스트 두 개임. 하나 삭제 필요(엑셀에서 포스트 주소도 확인해서 변경하기!)
