instagram caption,image name,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info
2_04_2_fil_bw_ins_nmo_Juno,2_04_2_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI-6fmDJsa/,2,jpg,nfit,Juno,iaslab_filt_5
YJ 2_05_1_fil_bw_ins_nmo_Juno,2_05_1_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI-7p9DdSX/,2,jpg,nfit,Juno,iaslab_filt_5
2_05_2_fil_bw_ins_nmo_Juno,2_05_2_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI-7p9DdSX/,2,jpg,nfit,Juno,iaslab_filt_5
YJ 2_06_1_fil_bw_ins_nmo_Juno,2_06_1_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI-94mjK9B/,2,jpg,nfit,Juno,iaslab_filt_5
2_06_2_fil_bw_ins_nmo_Juno,2_06_2_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI-94mjK9B/,2,jpg,nfit,Juno,iaslab_filt_5
YJ 2_07_1_fil_bw_ins_nmo_Juno,2_07_1_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI-_iYDNst/,2,jpg,nfit,Juno,iaslab_filt_5
2_07_2_fil_bw_ins_nmo_Juno,2_07_2_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI-_iYDNst/,2,jpg,nfit,Juno,iaslab_filt_5
YJ 2_08_1_fil_bw_ins_nmo_Juno,2_08_1_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI_A-FD63F/,2,jpg,nfit,Juno,iaslab_filt_5
2_08_2_fil_bw_ins_nmo_Juno,2_08_2_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI_A-FD63F/,2,jpg,nfit,Juno,iaslab_filt_5
YJ 2_09_1_fil_bw_ins_nmo_Juno,2_09_1_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI_CPBj1JU/,2,jpg,nfit,Juno,iaslab_filt_5
2_09_2_fil_bw_ins_nmo_Juno,2_09_2_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI_CPBj1JU/,2,jpg,nfit,Juno,iaslab_filt_5
YJ 2_10_1_fil_bw_ins_nmo_Juno,2_10_1_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI_ENajqa-/,2,jpg,nfit,Juno,iaslab_filt_5
2_10_2_fil_bw_ins_nmo_Juno,2_10_2_fil_bw_ins_nmo_Juno,https://www.instagram.com/p/CEI_ENajqa-/,2,jpg,nfit,Juno,iaslab_filt_5
YJ 2_01_1_fil_bw_ins_nmo_Slum,2_01_1_fil_bw_ins_nmo_Slum,https://www.instagram.com/p/CEI_F2JDlmd/,2,jpg,nfit,Slum,iaslab_filt_5
2_01_2_fil_bw_ins_nmo_Slum,2_01_2_fil_bw_ins_nmo_Slum,https://www.instagram.com/p/CEI_F2JDlmd/,2,jpg,nfit,Slum,iaslab_filt_5
